sample_idx,segment_idx,ee_x,ee_y,base_x,base_y,j1_x,j1_y,j2_x,j2_y,j3_x,j3_y,theta1,theta2,theta3
29,0,289.86184304097145,17.76334985261995,15.0,15.0,163.68637177685727,-67.41579246621475,299.803078132877,16.68083202483774,289.86184304097145,17.76334985261995,-0.506133087981403,1.0595579105806907,2.4797035016482285
30,0,289.54739138323686,17.932464955367163,15.0,15.0,163.56444251236607,-67.63538237940135,299.4812218213852,16.783982118700578,289.54739138323686,17.932464955367163,-0.5076105599524454,1.0634081776128805,2.470692764531452
31,0,289.226957960775,18.104797108276315,15.0,15.0,163.44028144303132,-67.85820928015315,299.1527926154572,16.889146497323395,289.226957960775,18.104797108276315,-0.5091110536548803,1.0673236621241826,2.461513559132933
32,0,288.9008495307513,18.280181334416127,15.0,15.0,163.31401384591166,-68.08401348583689,298.8180805087952,16.99623050664823,288.9008495307513,18.280181334416127,-0.5106328793921256,1.0713002644130836,2.4521747709721673
33,0,288.56937285033143,18.45845265685516,15.0,15.0,163.18576494402777,-68.3125384798312,298.4773768839799,17.105139659353853,288.56937285033143,18.45845265685516,-0.5121743641761998,1.075333915791496,2.442685271263827
34,0,288.2328346766807,18.639446098662056,15.0,15.0,163.0556598894863,-68.5435310164034,298.13097458901734,17.215779608289978,288.2328346766807,18.639446098662056,-0.5137338522855178,1.0794205791580225,2.4330539169022893
35,0,287.8915417669648,18.82299668290535,15.0,15.0,162.92382374563374,-68.7767412141979,297.7791680092063,17.328056117619383,287.8915417669648,18.82299668290535,-0.5153097057647462,1.0835562494420274,2.4232895505174215
36,0,287.5458008783491,19.008939432653825,15.0,15.0,162.79038146819317,-69.01192263890847,297.4222531342746,17.441875031799853,287.5458008783491,19.008939432653825,-0.5169003048700974,1.0877369539264192,2.413401000597093
37,0,287.1959187679992,19.19710937097595,15.0,15.0,162.65545788534902,-69.24883237569483,297.06052762074546,17.557142242549105,287.1959187679992,19.19710937097595,-0.5185040484633543,1.0919587524569876,2.403397081671862
38,0,286.84220219308054,19.387341520940396,15.0,15.0,162.51917767675607,-69.48723109188556,296.6942908494907,17.673763653951596,286.84220219308054,19.387341520940396,-0.5201193543577829,1.0962177375460485,2.393286594557245
39,0,286.48495791075857,19.57947090561576,15.0,15.0,162.38166535146274,-69.72688309048931,296.32384397843936,17.79164514587383,286.48495791075857,19.57947090561576,-0.5217446596189488,1.100510034377976,2.383078326648998
40,0,286.1244926781989,19.77333254807066,15.0,15.0,162.24304522474998,-69.96755635501255,295.94948999040946,17.91069253586859,286.1244926781989,19.77333254807066,-0.5233784208232909,1.1048318007240243,2.37278105226687
41,0,285.761113252567,19.968761471373746,15.0,15.0,162.1034413939024,-70.2090225860544,295.5715337360399,18.03081153975667,285.761113252567,19.968761471373746,-0.5250191142771135,1.1091792267735818,2.362403533042343
42,0,285.3951263910283,20.16559269859356,15.0,15.0,161.9629777129422,-70.45105723012007,295.19028197180523,18.151907731083853,285.3951263910283,20.16559269859356,-0.5266652361984603,1.1135485348887197,2.351954518345956
43,0,285.0268388507484,20.363661252798828,15.0,15.0,161.82177776636956,-70.69343950106557,294.80604339309957,18.273886499659653,285.0268388507484,20.363661252798828,-0.5283153028641396,1.1179359792886392,2.34144274574988
44,0,284.6565573888927,20.562802157058023,15.0,15.0,161.6799648419692,-70.93595239455183,294.4191286623869,18.39665300938954,284.6565573888927,20.562802157058023,-0.52996785072393,1.122337845670233,2.3308769415215664
45,0,284.2845887626268,20.762850434439876,15.0,15.0,161.53766190275672,-71.17838269585569,294.02985043241904,18.52011215562119,284.2845887626268,20.762850434439876,-0.5316214364837945,1.126750450770699,2.320265821144345
46,0,283.9112397291162,20.96364110801295,15.0,15.0,161.3949915581536,-71.42052098135103,293.63852336452993,18.644168522227076,283.9112397291162,20.96364110801295,-0.5332746371596911,1.1311701418777427,2.3096180898610355
47,0,283.5368170455262,21.165009200845855,15.0,15.0,161.25207603449357,-71.6621616139403,293.24546414202536,18.76872633865304,283.5368170455262,21.165009200845855,-0.5349260501033497,1.1355932962925754,2.2989424432367187
48,0,283.16162746902256,21.36678973600726,15.0,15.0,161.10903714497917,-71.90310273268209,292.85099147869107,18.8936894371637,283.16162746902256,21.36678973600726,-0.5365742930011439,1.1400163207505112,2.2882475677370224
49,0,282.78597775677065,21.56881773656574,15.0,15.0,160.965996259219,-72.14314623683075,292.45542612245174,19.018961210518228,282.78597775677065,21.56881773656574,-0.5382180038469865,1.1444356508036404,2.277542141318333
50,0,282.410174665936,21.770928225589884,15.0,15.0,160.8230742724929,-72.38209776446786,292.0590908542215,19.144444570312018,282.410174665936,21.770928225589884,-0.5398558408899289,1.1488477501696415,2.2668348340265885
51,0,282.03452495368407,21.97295622614836,15.0,15.0,160.68039157490367,-72.61976666587704,291.6623104819935,19.270041906219504,282.03452495368407,21.97295622614836,-0.5414864825569496,1.1532491100504527,2.2561343086013954
52,0,281.6593353771804,22.17473676130971,15.0,15.0,160.5380680205871,-72.85596597178224,291.2654118302231,19.39565504637241,281.6593353771804,22.17473676130971,-0.5431086273512021,1.1576362484241591,2.2454492210823864
53,0,281.28491269359046,22.376104854142657,15.0,15.0,160.39622289716542,-73.09051235654036,290.8687237245683,19.52118521910795,281.28491269359046,22.376104854142657,-0.5447209937257896,1.1620057093130898,2.2347882214149015
54,0,280.9115636600798,22.576895527715706,15.0,15.0,160.25497489563833,-73.32322609635291,290.472576972056,19.64653301631637,280.9115636600798,22.576895527715706,-0.5463223199329537,1.1663540620307877,2.2241599540522046
55,0,280.5395950338139,22.77694380509761,15.0,15.0,160.11444208091942,-73.55393102253272,290.07730433675033,19.77159835861741,280.5395950338139,22.77694380509761,-0.5479113638483678,1.1706779004101682,2.213573058551619
56,0,280.1693135719582,22.976084709356783,15.0,15.0,159.97474186323217,-73.78245446983992,289.6832405110081,19.89628046258707,280.1693135719582,22.976084709356783,-0.5494869027700725,1.1749738420148663,2.2030361701621146
57,0,279.8010260316783,23.174153263562005,15.0,15.0,159.83599097059124,-74.00862721987578,289.2907220824069,20.020477810255798,279.8010260316783,23.174153263562005,-0.5510477331914141,1.1792385273354657,2.192557920401021
58,0,279.4350391701396,23.37098449078187,15.0,15.0,159.6983054225995,-74.23228343950474,288.9000874964429,20.144088121088103,279.4350391701396,23.37098449078187,-0.5525926705472252,1.1834686189720132,2.182146937617688
59,0,279.0716597445077,23.566413414084955,15.0,15.0,159.56180050580016,-74.45326061425166,288.5116770150969,20.267008326652046,279.0716597445077,23.566413414084955,-0.5541205489323211,1.187660800803915,2.1718118475420907
60,0,278.711194511948,23.76027505653984,15.0,15.0,159.42659075082636,-74.67139947660746,288.1258326713713,20.389134548176173,278.711194511948,23.76027505653984,-0.5556302207912982,1.1918117771480943,2.1615612738164667
61,0,278.35395022962615,23.95240444121523,15.0,15.0,159.29278991159558,-74.88654392915626,287.7428982199083,20.510362077185192,278.35395022962615,23.95240444121523,-0.5571205565784818,1.1959182719059789,2.15140383850828
62,0,278.0002336547075,24.142636591179656,15.0,15.0,159.1605109467976,-75.09854096242763,287.363219083796,20.63058535939561,278.0002336547075,24.142636591179656,-0.5585904443868096,1.1999770276997157,2.1413481626028865
63,0,277.65035154435753,24.33080652950178,15.0,15.0,159.02986600392663,-75.30724056735949,286.9871422976801,20.749697982044808,277.65035154435753,24.33080652950178,-0.5600387895443236,1.2039848049977315,2.131402866474465
64,0,277.30461065574184,24.516749279250234,15.0,15.0,158.90096640610702,-75.51249564225074,286.6150164472916,20.867592664815007,277.30461065574184,24.516749279250234,-0.5614645141769021,1.207938381229593,2.121576570333894
65,0,276.96331774602595,24.700299863493555,15.0,15.0,158.77392264195882,-75.71416189407277,286.2471916055082,20.984161254504087,276.96331774602595,24.700299863493555,-0.5628665567358084,1.2118345498899286,2.1118778946523733
66,0,276.62677957237526,24.88129330530043,15.0,15.0,158.64884435874814,-75.91209773399883,285.8840192650642,21.09929472358401,276.62677957237526,24.88129330530043,-0.5642438714885766,1.2156701196309685,2.102315460559773
67,0,276.2953028919554,25.059564627739498,15.0,15.0,158.52584035905906,-76.10616416700843,285.52585226802336,21.212883172774596,276.2953028919554,25.059564627739498,-0.5655954279717565,1.2194419133431393,2.09289789021678
68,0,275.9691944619317,25.234948853879295,15.0,15.0,158.40501860121836,-76.29622467541698,285.17304473212687,21.32481583774951,275.9691944619317,25.234948853879295,-0.5669202104040132,1.2231467672229799,2.083633807160086
69,0,275.6487610394698,25.407281006788406,15.0,15.0,158.28648620369484,-76.48214509617912,284.8259519741266,21.43498110007792,275.6487610394698,25.407281006788406,-0.568217217058084,1.226781529827522,2.074531836619963
70,0,275.3343093817351,25.576396109535608,15.0,15.0,158.170349453685,-76.66379349181294,284.4849304302097,21.543266502491804,275.3343093817351,25.576396109535608,-0.5694854595901181,1.2303430611141566,2.065600605809734
71,0,275.02614624589324,25.74212918518942,15.0,15.0,158.056713820083,-76.84104001479336,284.15033757361584,21.649558768554968,275.02614624589324,25.74212918518942,-0.5707239623249523,1.2338282314649103,2.0568487441867735
72,0,274.7245783891096,25.90431525681836,15.0,15.0,157.94568397102137,-77.01375676526249,283.82253182954304,21.75374382679756,274.7245783891096,25.90431525681836,-0.5719317614959156,1.237233920693947,2.0482848836848127
73,0,274.42991256854964,26.06278934749125,15.0,15.0,157.83736379615007,-77.18181764190959,283.50187248743185,21.855706839363478,274.42991256854964,26.06278934749125,-0.5731079044378207,1.240557017037041,2.0399176589174557
74,0,274.1424555413789,26.217386480276556,15.0,15.0,157.73185643380614,-77.34509818587748,283.188719610709,21.955332235203144,274.1424555413789,26.217386480276556,-0.5742514487318658,1.2437944161216872,2.031755707352971
75,0,273.8625140647631,26.36794167824293,15.0,15.0,157.62926430320576,-77.50347541755539,282.8834339440642,22.05250374783199,273.8625140647631,26.36794167824293,-0.5753614613012525,1.2469430199164595,2.0238076694605507
76,0,273.5903948958674,26.51428996445895,15.0,15.0,157.52968914176978,-77.65682766612763,282.5863768183241,22.147104457655715,273.5903948958674,26.51428996445895,-0.5764370174564157,1.2499997356581634,2.01608218882839
77,0,273.3264047918575,26.656266361993296,15.0,15.0,157.43323204767142,-77.80503439175155,282.29791005297704,22.239016838850574,273.3264047918575,26.656266361993296,-0.5774771998888686,1.2529614747552849,2.008587912254082
78,0,273.0708505098989,26.793705893914577,15.0,15.0,157.339993527669,-77.94797600025053,282.01839585639067,22.328122810769287,273.0708505098989,26.793705893914577,-0.5784810976127881,1.255825151666218,2.0013334898079735
79,0,272.82403880715697,26.926443583291412,15.0,15.0,157.2500735502629,-78.08553365021223,281.74819672375287,22.41430379382807,272.82403880715697,26.926443583291412,-0.5794478048535681,1.2585876827506772,1.9943275748703102
80,0,272.5862764407973,27.054314453192283,15.0,15.0,157.1635716041862,-78.21758905239625,281.4876753327536,22.497440769812542,272.5862764407973,27.054314453192283,-0.580376419882729,1.2612459850927151,1.987578824143125
81,0,272.35787016798537,27.177153526686027,15.0,15.0,157.08058676221026,-78.34402426136364,281.2371944370101,22.57741434652499,272.35787016798537,27.177153526686027,-0.5812660437986985,1.2637969752937188,1.9810958976380242
82,0,272.13912674588676,27.29479582684111,15.0,15.0,157.00121775021637,-78.46472145925239,280.99711675722557,22.654104826675066,272.13912674588676,27.29479582684111,-0.5821157792531282,1.2662375682337221,1.9748874586411898
83,0,271.93035293166685,27.407076376726124,15.0,15.0,156.92556302145186,-78.5795627316344,280.767804870054,22.72739228090329,271.93035293166685,27.407076376726124,-0.5829247291225784,1.2685646757993805,1.968962173657093
84,0,271.7318554824912,27.513830199409803,15.0,15.0,156.85372083585676,-78.68842983540078,280.5496210946298,22.79715662480389,271.7318554824912,27.513830199409803,-0.5836919951255494,1.2707752055768844,1.9633287123326082
85,0,271.5439411555253,27.61489231796068,15.0,15.0,156.7857893443118,-78.79120395863588,280.3429273767022,22.86327769979779,271.5439411555253,27.61489231796068,-0.5844166763850258,1.272866059508107,1.9579957473634124
86,0,271.3669167079347,27.71009775544742,15.0,15.0,156.7218666776238,-78.88776547245024,280.14808517029917,22.925635357687852,271.3669167079347,27.71009775544742,-0.5850978679368547,1.2748341325082135,1.9529719543847524
87,0,271.20108889688476,27.799281534938565,15.0,15.0,156.66205104002808,-78.97799367475604,279.9654553168272,22.98410954870748,271.20108889688476,27.799281534938565,-0.5857346591844561,1.2766763110429302,1.9482660118488875
88,0,271.04676447954114,27.88227867950283,15.0,15.0,156.60644080694954,-79.0617665259796,279.79539792149546,23.03858041285588,271.04676447954114,27.88227867950283,-0.5863261323005454,1.2783894716636302,1.9438866008917262
89,0,270.9042502130692,27.958924212208707,15.0,15.0,156.5551346267265,-79.13896037671827,279.63827222693305,23.08892837429046,270.9042502130692,27.958924212208707,-0.5868713605767204,1.2799704794983322,1.9398424051914116
90,0,270.7738528546346,28.029053156124938,15.0,15.0,156.50823152596308,-79.20944968735581,279.49443648385403,23.135034238528732,270.7738528546346,28.029053156124938,-0.5873694067219248,1.2814161866966196,1.9361421108218693
91,0,270.6558791614028,28.092500534320074,15.0,15.0,156.46583101813528,-79.27310673966568,279.364247818599,23.176779292186524,270.6558791614028,28.092500534320074,-0.5878193211109947,1.2827234308264264,1.9327944061045677
92,0,270.55063589053907,28.149101369862702,15.0,15.0,156.42803321503854,-79.3298013404351,279.2480620973706,23.214045404960203,270.55063589053907,28.149101369862702,-0.5882201399846317,1.2838890332205048,1.92980798146202
93,0,270.45842979920917,28.19869068582149,15.0,15.0,156.3949389406241,-79.37940051715303,279.1462337869584,23.246715133534522,270.45842979920917,28.19869068582149,-0.5885708836023188,1.2849097972702634,1.9271915292768673
94,0,270.3795676445785,28.241103505265016,15.0,15.0,156.36664984673018,-79.4217682058114,279.05911581172745,23.274671827073817,270.3795676445785,28.241103505265016,-0.5888705543498416,1.285782506664528,1.924953743760634
95,0,270.31435618381266,28.276174851261946,15.0,15.0,156.34326853017896,-79.45676493087048,278.9870594066333,23.297799733929352,270.31435618381266,28.276174851261946,-0.5891181348031999,1.2865039235705609,1.9231033208366226
96,0,270.26310217407706,28.303739746880872,15.0,15.0,156.32489865066663,-79.48424747744357,278.9304139660029,23.31598410916739,270.26310217407706,28.303739746880872,-0.5893125857508293,1.287070786754477,1.92164895804172
97,0,270.22611237253716,28.323633215190323,15.0,15.0,156.31164504884043,-79.50406855575335,278.8895268878072,23.329111322495535,270.22611237253716,28.323633215190323,-0.5894528441761401,1.28747980963792,1.9205993544522575
98,0,270.2036935363585,28.33569027925907,15.0,15.0,156.30361386391544,-79.51607645790996,278.8647434131335,23.33706896613522,270.2036935363585,28.33569027925907,-0.5895378212024732,1.287727678287574,1.919963210639457
99,0,270.19615242270663,28.339745962155586,15.0,15.0,156.30091265015088,-79.52011470705288,278.856406460551,23.33974596215559,270.19615242270663,28.339745962155586,-0.5895664000026252,1.2878110493337154,1.9197492286604048
100,1,270.19615242270663,28.339745962155586,15.0,15.0,156.30091265015088,-79.52011470705288,278.856406460551,23.33974596215559,270.19615242270663,28.339745962155586,-0.5895664000026252,1.2878110493337154,1.9197492286604048
101,1,270.1946312474272,28.327579090096453,15.0,15.0,156.2942147158088,-79.53012687943945,278.8535122092097,23.325201606371394,270.1946312474272,28.327579090096453,-0.5896372587783988,1.2878449280205029,1.9195116588125516
102,1,270.1899996866839,28.291612415154503,15.0,15.0,156.2743208534278,-79.55985547473477,278.8447896074007,23.28216020675295,270.1899996866839,28.291612415154503,-0.5898476756609845,1.2879467264801705,1.9188030358392631
103,1,270.1821556881198,28.232646849183,15.0,15.0,156.24152592727026,-79.60883338111849,278.8301733557953,23.211512473409655,270.1821556881198,28.232646849183,-0.5901944024478261,1.2881166715324344,1.9176294973397352
104,1,270.17099719937744,28.151483304035345,15.0,15.0,156.19611840017117,-79.67658712017901,278.80959115708123,23.114153214203625,270.17099719937744,28.151483304035345,-0.5906741808280924,1.2883549714134181,1.9159971893884795
105,1,270.1564221681,28.048922691564766,15.0,15.0,156.13838075131918,-79.76263756827191,278.782964182642,22.99098112692198,270.1564221681,28.048922691564766,-0.5912837446305115,1.2886618202756457,1.9139122642831679
106,1,270.1383285419299,27.925765923624645,15.0,15.0,156.06858990190918,-79.86650063687901,278.75020753989736,22.842898610348925,270.1383285419299,27.925765923624645,-0.5920198218696895,1.2890374024083544,1.9113808783706359
107,1,270.11661426851026,27.782813912068146,15.0,15.0,155.98701764633827,-79.98768791370335,278.7112307392048,22.67081159187437,270.11661426851026,27.782813912068146,-0.5928791366014226,1.2894818961819323,1.9084091899577598
108,1,270.0911772954837,27.620867568748746,15.0,15.0,155.89393108685914,-80.12570726618219,278.6659381593051,22.475629369376733,270.0911772954837,27.620867568748746,-0.5938584105968403,1.289995477720275,1.9050033573132412
109,1,270.0619155704931,27.440727805519597,15.0,15.0,155.78959306983552,-80.28006340903708,278.6142295103813,22.258264465215618,270.0619155704931,27.440727805519597,-0.5949543648445517,1.2905783243047664,1.9011695367657706
110,1,270.02872704118136,27.243195534234122,15.0,15.0,155.67426262195517,-80.45025843741435,278.5560002938589,22.01963249027932,270.02872704118136,27.243195534234122,-0.596163720889333,1.2912306175135795,1.8969138809034196
111,1,269.9915096551913,27.02907166674553,15.0,15.0,155.548195384954,-80.63579232710308,278.49114225813685,21.760652016134443,269.9915096551913,27.02907166674553,-0.5974832020153092,1.2919525460999757,1.8922425368785203
112,1,269.9501613601657,26.799157114907178,15.0,15.0,155.41164404758615,-80.83616340324755,278.4195438494805,21.48224445343837,269.9501613601657,26.799157114907178,-0.5989095342810109,1.292744308613323,1.8871616448217006
113,1,269.9045801037472,26.55425279057228,15.0,15.0,155.26485877374506,-81.05086877889943,278.3410906573482,21.185333934882692,269.9045801037472,26.55425279057228,-0.6004394474131383,1.2936061157665484,1.8816773363682024
114,1,269.8546638335788,26.295159605594264,15.0,15.0,155.10808762579586,-81.27940476468636,278.2556658534516,20.870847201049912,269.8546638335788,26.295159605594264,-0.6020696755653747,1.2945381925538468,1.8757957332989807
115,1,269.80031049730337,26.02267847182636,15.0,15.0,154.941576982323,-81.52126725080109,278.1631506238741,20.539713487676025,269.80031049730337,26.02267847182636,-0.6037969579480907,1.2955407801225012,1.869522946298591
116,1,269.7414180425636,25.737610301121855,15.0,15.0,154.76557194963056,-81.77595206244496,278.0634245935914,20.19286441292718,269.7414180425636,25.737610301121855,-0.6056180393343285,1.2966141374027758,1.8628650738312786
117,1,269.6778844170026,25.440756005334094,15.0,15.0,154.58031676645393,-82.042955289791,277.95636624275176,19.831233863409693,269.6778844170026,25.440756005334094,-0.6075296704470204,1.297758542499936,1.8558282011361773
118,1,269.60960756826273,25.13291649631639,15.0,15.0,154.38605520145353,-82.32177359346339,277.84185331408474,19.455757877747104,269.60960756826273,25.13291649631639,-0.6095286082319927,1.2989742938525763,1.8484183993419858
119,1,269.5364854439871,24.814892685921983,15.0,15.0,154.1830309431641,-82.61190448646221,277.7197632108159,19.06737452667059,269.5364854439871,24.814892685921983,-0.6116116160209015,1.300261711161531,1.8406417247009934
120,1,269.4584159918184,24.4874854860042,15.0,15.0,153.971487982167,-82.91284659339867,277.58997338447114,18.667023788681988,269.4584159918184,24.4874854860042,-0.6137754635878988,1.3016211360938073,1.8325042179418136
121,1,269.37529715939957,24.1514958084164,15.0,15.0,153.75167098533743,-83.22409988784153,277.4523617119596,18.255647420459198,269.37529715939957,24.1514958084164,-0.6160169271034696,1.303052932766092,1.8240119037397107
122,1,269.2870268943733,23.80772456501182,15.0,15.0,153.523825662099,-83.54516590851325,277.30680686133167,17.83418882128572,269.2870268943733,23.80772456501182,-0.6183327889885493,1.3045574880125248,1.8151707903029475
123,1,269.1935031443826,23.456972667643758,15.0,15.0,153.28819912268546,-83.87554795501515,277.15318864561016,17.40359289089524,269.1935031443826,23.456972667643758,-0.6207198376717291,1.3061352114415845,1.8059868690731045
124,1,269.09462385707013,23.100041028165535,15.0,15.0,153.0450402284767,-84.214751263702,276.99138836410293,16.964805880229747,269.09462385707013,23.100041028165535,-0.6231748672520547,1.3077865352870628,1.7964661145369023
125,1,268.9902869800787,22.737730558430453,15.0,15.0,152.79459993453256,-84.5622831642692,276.82128913061166,16.5187752347167,268.9902869800787,22.737730558430453,-0.6256946770696407,1.3095119140582305,1.7866144841466522
126,1,268.8803904610511,22.37084217029186,15.0,15.0,152.53713162449958,-84.91765321756247,276.64277618796007,16.066449429775105,268.8803904610511,22.37084217029186,-0.6282760711860701,1.3113118239944652,1.776437918346027
127,1,268.76483224763035,22.000176775602988,15.0,15.0,152.27289143811382,-85.28037333506404,276.45573720827895,15.608777798362482,268.76483224763035,22.000176775602988,-0.6309158577762783,1.313186762329689,1.765942340697508
128,1,268.6435102874592,21.626535286217162,15.0,15.0,152.00213859156312,-85.64995788045879,276.26006257849855,15.146710350475232,268.6435102874592,21.626535286217162,-0.6336108484333897,1.3151372463721163,1.7551336581074712
129,1,268.51632252818035,21.25071861398767,15.0,15.0,151.72513569101056,-86.0259237536324,276.0556456705175,14.68119758461124,268.51632252818035,21.25071861398767,-0.6363578573877386,1.317163812404899,1.744017761144567
130,1,268.3831669174366,20.873527670767825,15.0,15.0,151.44214903961094,-86.40779045740321,275.84238309553774,14.213190291298645,268.3831669174366,20.873527670767825,-0.6391537006410865,1.3192670144133376,1.7326005244467235
131,1,268.24394140287086,20.49576336841096,15.0,15.0,151.15344893838284,-86.7950801472408,275.6201749420794,13.74363934888531,268.24394140287086,20.49576336841096,-0.6419951950168283,1.321447422644417,1.7208878072118197
132,1,268.09854393212606,20.118226618770343,15.0,15.0,150.85930998132133,-87.18731766417613,275.3889249972176,13.27349551187109,268.09854393212606,20.118226618770343,-0.6448791571267825,1.3237056220044636,1.708885453766812
